epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.5021833777427673,0.6720281839370728,0.6814872622489929,0.6764705777168274,0.7959486246109009,0.6468850374221802
1,0.5507642030715942,0.7793295979499817,0.6645978689193726,0.7352941036224365,0.7924901247024536,0.6206220984458923
2,0.596069872379303,0.8296847343444824,0.6405471563339233,0.75,0.8048418760299683,0.6037790179252625
3,0.6855894923210144,0.8341208696365356,0.6351069808006287,0.7647058963775635,0.8567193746566772,0.5627803802490234
4,0.6883187890052795,0.8534566760063171,0.6161579489707947,0.7647058963775635,0.8290513753890991,0.5562732815742493
5,0.7150654792785645,0.8663722276687622,0.6014001965522766,0.8088235259056091,0.8325098752975464,0.5538223385810852
6,0.7762008905410767,0.8781058192253113,0.5896303653717041,0.8235294222831726,0.8186759352684021,0.5203514695167542
7,0.7816593647003174,0.873887836933136,0.5684333443641663,0.8382353186607361,0.8176877498626709,0.5096046924591064
8,0.7871178984642029,0.8893251419067383,0.5448396801948547,0.8529411554336548,0.8008893132209778,0.5193816423416138
9,0.7920305728912354,0.878940224647522,0.5306999683380127,0.8382353186607361,0.8893280029296875,0.43845123052597046
10,0.7991266250610352,0.8999192118644714,0.4938572347164154,0.8529411554336548,0.877964437007904,0.43953070044517517
11,0.8133187890052795,0.8934250473976135,0.48974207043647766,0.8529411554336548,0.8621540665626526,0.4462321698665619
12,0.8133187890052795,0.891853392124176,0.4768199920654297,0.8529411554336548,0.8330039978027344,0.46626248955726624
13,0.8160480260848999,0.9043017029762268,0.4561367928981781,0.8823529481887817,0.8656125664710999,0.43769538402557373
14,0.8318777084350586,0.9053500890731812,0.43904900550842285,0.8823529481887817,0.8493083119392395,0.4430003762245178
15,0.8275108933448792,0.9042670726776123,0.4358104467391968,0.8823529481887817,0.8443676233291626,0.4412858486175537
16,0.8307860493659973,0.9052719473838806,0.4266901910305023,0.8823529481887817,0.8730236887931824,0.4131331145763397
17,0.835698664188385,0.9105949401855469,0.4128064513206482,0.8823529481887817,0.8903161883354187,0.3909101188182831
18,0.8618995547294617,0.9251613616943359,0.3924572169780731,0.8823529481887817,0.8824110627174377,0.39192166924476624
19,0.8515284061431885,0.9157843589782715,0.4049510955810547,0.8382353186607361,0.9125494360923767,0.3853665590286255
